date,state,value
2020-03-23,New York State,2.5691727990070037
2020-03-23,New York City,2.490980583385052
2020-03-30,Central Atlantic,2.423958684280521
2020-03-30,New England,2.245233620001773
2020-03-30,New York State,2.5021508999024737
2020-03-30,New York City,2.4127883677630995
2020-04-06,Central Atlantic,2.379516290539265
2020-04-06,New England,2.177481888512346
2020-04-06,New York State,2.4580852246608442
2020-04-06,New York City,2.3682921570933244
2020-04-13,Central Atlantic,2.334619756755505
2020-04-13,New England,2.1213612212826463
2020-04-13,New York State,2.4131886908770843
2020-04-13,New York City,2.323395623309565
2020-04-20,Central Atlantic,2.300947356417685
2020-04-20,New England,2.0876888209448268
2020-04-20,New York State,2.3682921570933244
2020-04-20,New York City,2.2672749560798655
2020-04-27,Central Atlantic,2.2448266891879856
2020-04-27,New England,2.054016420607007
2020-04-27,New York State,2.312171489863625
2020-04-27,New York City,2.2111542888501656
2020-05-04,Central Atlantic,2.210805340101811
2020-05-04,New England,2.0321544035279273
2020-05-04,New York State,2.2777994413170175
2020-05-04,New York City,2.1884739730300753
2020-05-11,Central Atlantic,2.244302390709414
2020-05-11,New England,2.0768171376713984
2020-05-11,New York State,2.322462175460488
2020-05-11,New York City,2.2331367071735464
2020-05-18,Central Atlantic,2.2777994413170175
2020-05-18,New England,2.0991485047431335
2020-05-18,New York State,2.3336278589963557
2020-05-18,New York City,2.244302390709414
2020-05-25,Central Atlantic,2.322462175460488
2020-05-25,New England,2.1661426059583397
2020-05-25,New York State,2.3559592260680913
2020-05-25,New York City,2.255468074245282
2020-06-01,Central Atlantic,2.342792022186567
2020-06-01,New England,2.1642935824009237
2020-06-01,New York State,2.3539481746731696
2020-06-01,New York City,2.253542802293745
2020-06-08,Central Atlantic,2.376260479646375
2020-06-08,New England,2.23123049732054
2020-06-08,New York State,2.376260479646375
2020-06-08,New York City,2.298167412240156
2020-06-15,Central Atlantic,2.409728937106183
2020-06-15,New England,2.275855107266951
2020-06-15,New York State,2.387416632132978
2020-06-15,New York City,2.3204797172133618
2020-06-22,Central Atlantic,2.443197394565991
2020-06-22,New England,2.287011259753553
2020-06-22,New York State,2.420885089592786
2020-06-22,New York City,2.3539481746731696
2020-06-29,Central Atlantic,2.498978156999005
2020-06-29,New England,2.342792022186567
2020-06-29,New York State,2.443197394565991
2020-06-29,New York City,2.376260479646375
2020-07-06,Central Atlantic,2.4876033057851243
