date,Central Atlantic,New England,New York State,New York City
2020-09-28,2.507046399415219,2.3406495144982795,2.4072082684650553,2.318463263176021
2020-10-05,2.5219505773948425,2.333082031951176,2.3997415185783524,2.3553018608269016
2020-10-12,2.544170406270568,2.3441919463890386,2.3997415185783524,2.366411775264764
2020-10-19,2.533060491832705,2.333082031951176,2.410851433016215,2.366411775264764
2020-10-26,2.5108406629569795,2.321972117513313,2.3997415185783524,2.333082031951176
2020-11-02,2.4959121186341964,2.3176326815888966,2.3956299352962147,2.306490216773565
2020-11-09,2.4736271890035337,2.3176326815888966,2.384487470480884,2.295347751958234
2020-11-16,2.518197048264858,2.3287751464042272,2.3956299352962147,2.3287751464042272
2020-11-23,2.507054583449527,2.3176326815888966,2.3956299352962147,2.3287751464042272
2020-11-30,2.5739093723415145,2.3399176112195588,2.3956299352962147,2.384487470480884
2020-12-07,2.564323404255319,2.3534050290135395,2.4089098646034812,2.3756069632495165
2020-12-14,2.575424371373307,2.3756069632495165,2.4089098646034812,2.4089098646034812
2020-12-21,2.619828239845261,2.431111798839458,2.4866166344294003,2.4866166344294003
2020-12-28,2.619828239845261,2.453313733075435,2.4866166344294003,2.464414700193424
2021-01-04,2.642212906050259,2.4763836441642595,2.4984942124157254,2.5095494965414593
2021-01-11,2.7085446108046587,2.5206047806671923,2.5537706330443926,2.586936485421592
2021-01-18,2.7859315996847918,2.609047053673059,2.653268190175992,2.6864340425531923
2021-01-25,2.7969868838105247,2.631157621924525,2.6974893266789253,2.7085446108046587
2021-02-01,2.798739990365618,2.644478731054127,2.6995720379510884,2.71059069933048
2021-02-08,2.853833297262579,2.6995720379510884,2.7436466834686573,2.754665344848049
2021-02-15,2.8979079427801473,2.7216093607098726,2.7877213289862253,2.820777313124402
2021-02-22,3.019113217953462,2.820777313124402,2.90892660415954,2.9309639269183245
2021-03-01,3.0853982002288847,2.898737099147422,2.997557682072902,3.0195178116118977
2021-03-08,3.1402985240763734,2.9536374229949107,3.0414779411508936,3.052458005920391
2021-03-15,3.184218783154365,3.0304978763813955,3.1073583297678806,3.0853982002288847
2021-03-22,3.184218783154365,3.052458005920391,3.1073583297678806,3.0963782649983824
2021-03-29,3.1622586536153694,3.0304978763813955,3.0963782649983824,3.0853982002288847
2021-04-05,3.1293769452111104,3.0094356685653882,3.0748581830994186,3.053050678254742
2021-04-12,3.107569440366434,2.987628163720712,3.053050678254742,3.020339420987727
2021-04-19,3.107569440366434,2.99853191614305,3.053050678254742,3.020339420987727
2021-04-26,3.140280697633449,3.0421469258324034,3.085761935521757,3.085761935521757
