date,countyfips,value,county,state
2020-07-03,09003,-3.6999999999999997,Hartford,CT
2020-07-03,09005,-8.17,Litchfield,CT
2020-07-03,09009,2,New Haven,CT
2020-07-03,34003,4.24,Bergen,NJ
2020-07-03,34017,-7.920000000000001,Hudson,NJ
2020-07-03,34025,11.1,Monmouth,NJ
2020-07-03,34027,0.7939999999999999,Morris,NJ
2020-07-03,36059,-4.66,Nassau,NY
2020-07-03,36103,7.7299999999999995,Suffolk,NY
2020-07-03,36119,-11.1,Westchester,NY
2020-07-04,09001,-0.643,Fairfield,CT
2020-07-04,09003,-4.109999999999999,Hartford,CT
2020-07-04,09005,-4.02,Litchfield,CT
2020-07-04,09009,3.64,New Haven,CT
2020-07-04,34003,7.779999999999999,Bergen,NJ
2020-07-04,34017,-11.1,Hudson,NJ
2020-07-04,34025,15.299999999999999,Monmouth,NJ
2020-07-04,34027,4.54,Morris,NJ
2020-07-04,36059,-0.457,Nassau,NY
2020-07-04,36103,9.719999999999999,Suffolk,NY
2020-07-04,36119,-7.090000000000001,Westchester,NY
2020-07-05,09001,-1.8599999999999999,Fairfield,CT
2020-07-05,09003,-2.29,Hartford,CT
2020-07-05,09005,-0.551,Litchfield,CT
2020-07-05,09009,4.17,New Haven,CT
2020-07-05,34003,7.870000000000001,Bergen,NJ
2020-07-05,34017,-7.24,Hudson,NJ
2020-07-05,34025,16.6,Monmouth,NJ
2020-07-05,34027,5.36,Morris,NJ
2020-07-05,36059,0.42500000000000004,Nassau,NY
2020-07-05,36103,11.1,Suffolk,NY
2020-07-05,36119,-7.99,Westchester,NY
2020-07-06,09001,-3.1,Fairfield,CT
2020-07-06,09003,-2.12,Hartford,CT
2020-07-06,09005,1.47,Litchfield,CT
2020-07-06,09009,3.64,New Haven,CT
2020-07-06,34003,9.25,Bergen,NJ
2020-07-06,34017,-3.9600000000000004,Hudson,NJ
2020-07-06,34025,16.400000000000002,Monmouth,NJ
2020-07-06,34027,3.1399999999999997,Morris,NJ
2020-07-06,36059,-0.193,Nassau,NY
2020-07-06,36103,12.4,Suffolk,NY
2020-07-06,36119,-10.100000000000001,Westchester,NY
2020-07-07,09001,-4.19,Fairfield,CT
2020-07-07,09003,-1.17,Hartford,CT
2020-07-07,09005,2.18,Litchfield,CT
2020-07-07,09009,2.5100000000000002,New Haven,CT
2020-07-07,34003,6.94,Bergen,NJ
2020-07-07,34017,-3.2199999999999998,Hudson,NJ
2020-07-07,34025,14.899999999999999,Monmouth,NJ
2020-07-07,34027,2.13,Morris,NJ
2020-07-07,36059,-1.0999999999999999,Nassau,NY
2020-07-07,36103,11.200000000000001,Suffolk,NY
2020-07-07,36119,-11.600000000000001,Westchester,NY
2020-07-08,09001,-6.6000000000000005,Fairfield,CT
2020-07-08,09003,-1.8800000000000001,Hartford,CT
2020-07-08,09005,3.08,Litchfield,CT
2020-07-08,09009,1.59,New Haven,CT
