date,countyfips,county,state,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2022-07-24,36059,Nassau,NY,-12.9,-8.6,143,-33.7,-33.3,5.6,-5.7
2022-07-24,36103,Suffolk,NY,-3.4,0.3,215,5.6,-24.3,4.1,-4.2
2022-07-24,36119,Westchester,NY,-13.4,-5,56.3,-21.6,-26.9,5.6,-5.7
2022-07-25,09001,Fairfield,CT,-7.9,-5.3,103,11.4,-29.4,3.3,-3
2022-07-25,09003,Hartford,CT,-9.1,-5,65.7,-24.3,-28.7,4.9,-5
2022-07-25,09005,Litchfield,CT,5.7,6.7,NA,NA,-19.6,4.3,-4.4
2022-07-25,09009,New Haven,CT,-8.3,-6.4,44,-1.6,-23.7,4.1,-4.2
2022-07-25,34003,Bergen,NJ,-7.9,1.1,87.3,-9,-31.7,5.9,-6
2022-07-25,34017,Hudson,NJ,-16.7,-6.4,69.6,-28.7,-29.6,5.9,-6
2022-07-25,34025,Monmouth,NJ,1.6,12.3,227,-0.7,-31.6,4.6,-4.6
2022-07-25,34027,Morris,NJ,-12.4,0.7,58.3,-31.7,-34.7,6.3,-6.4
2022-07-25,36059,Nassau,NY,-12.7,-8.3,143,-33.6,-33.3,5.1,-5.2
2022-07-25,36103,Suffolk,NY,-3.4,0.4,214,5.9,-24.3,3.4,-3.4
2022-07-25,36119,Westchester,NY,-12,-2.9,61.6,-21.4,-26.7,4.9,-4.9
2022-07-26,09001,Fairfield,CT,-8,-5.7,104,11.7,-29.4,2.4,-2.2
2022-07-26,09003,Hartford,CT,-8.9,-4.9,67.1,-24.9,-28.6,4,-4.1
2022-07-26,09005,Litchfield,CT,6.1,6.3,NA,NA,-19.4,3.4,-3.5
2022-07-26,09009,New Haven,CT,-8.1,-6.4,44.6,-1.1,-23.6,3.3,-3.4
2022-07-26,34003,Bergen,NJ,-7.9,1.1,88.9,-8.9,-31.7,5,-5.2
2022-07-26,34017,Hudson,NJ,-16.7,-5.9,70.4,-28,-29.6,5.1,-5.3
2022-07-26,34025,Monmouth,NJ,1.7,12.9,226,-0.7,-31.6,3.9,-3.9
2022-07-26,34027,Morris,NJ,-12.3,1.1,58.4,-31.3,-34.6,5.6,-5.7
2022-07-26,36059,Nassau,NY,-12.4,-7.7,147,-33.6,-33.1,4.4,-4.5
2022-07-26,36103,Suffolk,NY,-3.1,0.9,211,6.6,-24.1,2.6,-2.5
2022-07-26,36119,Westchester,NY,-12,-2.7,61.9,-21.3,-26.6,4,-4
2022-07-27,09001,Fairfield,CT,-8,-5.7,104,11.9,-29.3,2.3,-2
2022-07-27,09003,Hartford,CT,-8.6,-4.9,70.4,-25,-28.6,4,-4.1
2022-07-27,09005,Litchfield,CT,6.3,6.3,NA,NA,-19.4,3.3,-3.4
